areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCase,newCasesBySpecimenDate
E92000001,England,nation,2021-12-03,,5851,7421
E92000001,England,nation,2021-12-02,,5915,32468
E92000001,England,nation,2021-12-01,,5829,42184
E92000001,England,nation,2021-11-30,,6123,45336
E92000001,England,nation,2021-11-29,,6094,46312
E92000001,England,nation,2021-11-28,,5890,32957
E92000001,England,nation,2021-11-27,,5852,27679
E92000001,England,nation,2021-11-26,,5992,32814
E92000001,England,nation,2021-11-25,,6068,36164
E92000001,England,nation,2021-11-24,,6062,38861
E92000001,England,nation,2021-11-23,,6257,40047
E92000001,England,nation,2021-11-22,,6424,41876
E92000001,England,nation,2021-11-21,,6322,31034
E92000001,England,nation,2021-11-20,,6191,29201
E92000001,England,nation,2021-11-19,145824,6310,32454
E92000001,England,nation,2021-11-18,145761,6336,36214
E92000001,England,nation,2021-11-17,145696,6412,37418
E92000001,England,nation,2021-11-16,145618,6623,37676
E92000001,England,nation,2021-11-15,145503,6864,41511
E92000001,England,nation,2021-11-14,145389,6707,28906
E92000001,England,nation,2021-11-13,145294,6639,26797
E92000001,England,nation,2021-11-12,145189,6777,30563
E92000001,England,nation,2021-11-11,145095,6861,32901
E92000001,England,nation,2021-11-10,144981,6961,34557
E92000001,England,nation,2021-11-09,144860,7053,33884
E92000001,England,nation,2021-11-08,144738,7075,35282
E92000001,England,nation,2021-11-07,144618,6910,24879
E92000001,England,nation,2021-11-06,144505,6874,22053
E92000001,England,nation,2021-11-05,144375,7072,23828
E92000001,England,nation,2021-11-04,144255,7201,26061
E92000001,England,nation,2021-11-03,144130,7291,28416
E92000001,England,nation,2021-11-02,144002,7510,30401
E92000001,England,nation,2021-11-01,143877,7535,36740
E92000001,England,nation,2021-10-31,143740,7311,28899
E92000001,England,nation,2021-10-30,143597,7155,27682
E92000001,England,nation,2021-10-29,143480,7113,33263
E92000001,England,nation,2021-10-28,143354,7019,34354
E92000001,England,nation,2021-10-27,143204,6951,35766
E92000001,England,nation,2021-10-26,143071,6883,34547
E92000001,England,nation,2021-10-25,142946,6801,39128
E92000001,England,nation,2021-10-24,142827,6515,29486
E92000001,England,nation,2021-10-23,142711,6386,29175
E92000001,England,nation,2021-10-22,142587,6405,33803
E92000001,England,nation,2021-10-21,142478,6366,37788
